Name,Street,Postal,Locality,Region,Phone,Mobile,Fax,Website,Service,Keyword,Facilities,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday
Birse Community Trust,51 Atholl Road,PH16 5BU,Pitlochry ,Perth and Kinross Scotland,01330 850200,NA,NA,birsecommunitytrust.org.uk,NA,"Museum, Historic Buildings, Historical Places, Charity Organisations, Membership Organisations, Religious Organisations, Church",NA,"Arts, Entertainment & Nightlife,Cultural Attractions,Museums",NA,NA,NA,NA,NA,NA,NA
Aberfeldy Water Mill Ltd,"The Watermill, Mill Street ",PH15 2BG,Aberfeldy ,Perth and Kinross Scotland,01334 652912,01887 822896,01887 822802,www.aberfeldywatermill.com,NA,"Cafe, Coffee Shop, Books for Sale, Bookshop, Bookstore, Tourist Attractions, Attractions, Book Sale, Places to Visit, Places of Interest, General Books, Watermill, Local Business, Travel & Transportation, Shop Design",NA,"Shopping & Retail,Bookshops",10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,11:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00
Scotus Tours Ltd,6 Atholl Crescent,PH1 5JN,Perth ,Perth and Kinross Scotland,NA,NA,NA,,NA,Tour Operator,NA,"Travel & Tourism,Tours & Sightseeing,Tour Operators",NA,NA,NA,NA,NA,NA,NA
Dr P a Wood,3 Park Farm Drive ,DE22 2QN,Allestree ,Derbyshire England,01332 559402,01332 541001,NA,www.parkfarm-medical.net/simplecontact.aspx?pr=c81064,"travel vaccinations, repeat prescriptions, prescriptions, minor surgery, home visits, flu vaccinations, family health, Flu Vaccination, Home Visit",NA,NA,"Health & Medicine,Medical Facilities,Clinics & Medical Centres",08:00 - 18:30,08:00 - 18:30,Closed,Closed,08:00 - 20:00,08:00 - 18:30,08:00 - 18:30
Virgin Money Derby,25 Cornmarket ,DE1 2DP,Derby ,Derbyshire England,01332 343517,NA,NA,uk.virginmoney.com/virgin/store-finder/21.jsp,Bank,Bank,Bank,"Finance,Banking Services,Banks & ATMs",09:00 - 17:00,09:00 - 17:00,09:00 - 13:00,Closed,09:00 - 17:00,09:30 - 17:00,09:00 - 17:00
Disposal Company (Richborough) Limited,"ENVIRONMENT HOUSE, 6 UNION ROAD ",NG3 1FH,Nottingham ,Nottinghamshire England,NA,NA,NA,,"Sewage Collection, Sewerage","Sewage Collection, Sewerage",NA,"Utilities,Water Supply,Water Companies",NA,NA,NA,NA,NA,NA,NA
Volunteer Centre,15 Friars Street ,FK8 1HA,Stirling ,Stirling Scotland,01786 446071,01786 430000,01786 470449,do-it.org,NA,"Charities, Community Support",NA,"Community & Government,Charities & Voluntary Organisations",NA,NA,NA,NA,NA,NA,NA
Smith Crescent Supported Living Service,44 Smith Crescent ,LE67 4JE,Coalville ,Leicestershire England,01530 815887,01530 835046,NA,www.leics.gov.uk,NA,"Residential Care Homes, Learning Difficulties, Mental Health Support, Physical Disability",NA,"Health & Medicine,Mental Health Services,Psychiatrists",NA,NA,NA,NA,NA,NA,NA
Linden Design,Parsons Grove ,DE5 8PY,Denby Village ,Derbyshire England,7891235858,NA,NA,www.lindendesign.co.uk,"Web Design, Website Design, Computer Maintenance, Computer Repairs, PC Repair, PC Maintenance, Laptop Repair, Cheap Web Hosting, PC Upgrades, PC Health Check, Laptop Upgrades, Computer Health Check, Local Business, Cheap Web H","Web Design, Website Design, Computer Maintenance, Computer Repairs, PC Repair, PC Maintenance, Laptop Repair, Cheap Web Hosting, PC Upgrades, PC Health Check, Laptop Upgrades, Computer Health Check, Local Business, Cheap Web H",NA,"Electronics & Technology,Computer Services,Computer Repair & Maintenance",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00
Weld Erect 92 Ltd,"43A Beacon Heights, Pinfold Lane ",WS9 0QX,Aldridge ,West Midlands England,01922 636920,01922 614537,NA,,"Steel Fabricators, Manufacturing","Steel Fabricators, Manufacturing",NA,"Industry & Manufacturing,Steel Fabricators & Erectors",NA,NA,NA,NA,NA,NA,NA
Web Solutions,19 SOUTH ST ,NG16 3PF,Eastwood ,Nottinghamshire England,01773 710840,NA,NA,,NA,Web Design,NA,"Electronics & Technology,Computers & Software,Computer & Software Shops",NA,NA,NA,NA,NA,NA,NA
Aldridge Tyre Service,Old Fi Northgate ,WS9 8TH,Aldridge ,West Midlands England,01922 457222,01922 457651,01922 452261,,NA,Dealers,NA,"Automotive,Auto Parts & Accessories,Tyre Dealers & Repairs",NA,NA,NA,NA,NA,NA,NA
A.e.r Construction Ltd,Po Box 33,LN13 9XR,Alford ,Lincolnshire England,01507 462945,01507 462698,NA,,NA,NA,NA,"Construction & Contractors,Home Improvement,Loft Conversions",NA,NA,NA,NA,NA,NA,NA
Big W S Breakdown Recovery,426 Chester Rd ,WS9 0PP,Aldridge ,West Midlands England,0121 580 8111,07900 088602,NA,,"Light Commercial Vehicles Recovery, Vehicle Breakdown Recovery Service","Light Commercial Vehicles Recovery, Vehicle Breakdown Recovery Service",NA,"Automotive,Auto Repair,Garages",NA,NA,NA,NA,NA,NA,NA
Army Cadet Force,"CADET TRAINING CENTRE, HALLAM ROAD, FARNCOMBE ",GU7 3HW,Godalming ,Surrey England,01483 425371,NA,NA,armycadets.com,NA,NA,NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",NA,NA,NA,NA,NA,NA,NA
Uk Automotive Products,"UNIT 16-17/BEACON TRADING ESTATE, MIDDLEMORE LANE ",WS9 8DU,Aldridge ,West Midlands England,01922 745254,NA,NA,,"Car Parts, Auto Accessories, Car Components",NA,NA,"Automotive,Auto Parts & Accessories",NA,NA,NA,NA,NA,NA,NA
Website Consultants,6 Nest Avenue ,NG17 7LU,Kirkby-In-Ashfield ,Nottinghamshire England,1623460069,NA,NA,www.website-consultants.org.uk,"Website Design, Web Hosting, Website Maintenance, Website Building, Website Consultants","Website Design, Web Hosting, Website Maintenance, Website Building, Website Consultants",NA,"Media & Communications,Internet Services,Web Hosting & Domain Name Registration",09:00 - 17:30,09:00 - 17:30,Closed,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30
Quality Tyres Ltd,Northgate Opposite Walton Road ,WS9 8TH,Aldridge ,West Midlands England,01922 458661,01922 458960,0500 052222,,NA,MOT Centre,NA,"Automotive,Auto Parts & Accessories,Tyre Dealers & Repairs",NA,NA,NA,NA,NA,NA,NA
Actionsport Limited,C/O EDWARDS CHARTERED ACCOUNTANTS 34 HIGH STREET ,WS9 8LZ,Aldridge ,West Midlands England,NA,NA,NA,,NA,NA,NA,"Automotive,Auto Parts & Accessories",NA,NA,NA,NA,NA,NA,NA
Wagon And Horses,9 King Street ,DE55 7AF,Alfreton ,Derbyshire England,01773 545890,NA,NA,www.jdwetherspoon.com,"Pubs, Bars, Accommodation, Night Clubs, Screen TV","Pubs, Bars, Accommodation, Night Clubs, Screen TV","Pubs, Bars, Accommodation, Night Clubs, Screen TV","Arts, Entertainment & Nightlife,Bars & Pubs",08:00 - 24:00,08:00 - 01:00,08:00 - 01:00,08:00 - 24:00,08:00 - 24:00,08:00 - 24:00,08:00 - 24:00
Aquila Truck Centres,WESTGATE,WS9 8EZ,Aldridge ,West Midlands England,01922 743783,01922 743356,NA,www.aquilatrucks.com,"Car Dealers, Commercial Vehicles, Commercial Vehicle Dealers, New Car Dealers, ERF, Man Truck and Bus, Sale of Motor Vehicles, Man Erf, Man Erf UK LTD, Trucks, Specs","Car Dealers, Commercial Vehicles, Commercial Vehicle Dealers, New Car Dealers, ERF, Man Truck and Bus, Sale of Motor Vehicles, Man Erf, Man Erf UK LTD, Trucks, Specs",NA,"Automotive,Auto Repair,Garages",Closed,Closed,Closed,06:00 - 18:00,Closed,Closed,Closed
