Name,Street,Postal,Locality,Region,Phone,Mobile,Fax,Website,Products,Service,Keyword,Facilities,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,URL
AVS Image Designs,,,Falkirk ,,07394 865519,NA,NA,https://avsimagedesigns.co.uk/,NA,NA,"Graphic Designers, Website Designers, Stationery Shops, Web Consultants",NA,"Graphic Designers, Website Designers, Stationery Shops, Web Consultants",13:00 - 18:00,13:00 - 18:00,13:00 - 18:00,13:00 - 18:00,13:00 - 18:00,13:00 - 18:00,13:00 - 18:00,https://api.scraperapi.com/?url=https%3A%2F%2Ffalkirk.cylex-uk.co.uk%2Fcompany%2Favs-image-designs-27123333.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Wagon And Horses,9 King Street ,DE55 7AF,Alfreton ,Derbyshire England,01773 545890,NA,NA,www.jdwetherspoon.com,"Pubs, Bars, Accommodation, Night Clubs, Screen TV","Pubs, Bars, Accommodation, Night Clubs, Screen TV","Pubs, Bars, Accommodation, Night Clubs, Screen TV","Pubs, Bars, Accommodation, Night Clubs, Screen TV",NA,08:00 - 24:00,08:00 - 01:00,08:00 - 01:00,08:00 - 24:00,08:00 - 24:00,08:00 - 24:00,08:00 - 24:00,https://api.scraperapi.com/?url=https%3A%2F%2Falfreton.cylex-uk.co.uk%2Fcompany%2Fwagon-and-horses-19277206.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
The Eresby School,Eresby Avenue ,PE23 5HU,Spilsby ,Lincolnshire England,01790 752441,01790 754223,NA,www.eresbyspecialschool.co.uk,NA,NA,"School, Local Authority Schools, Local Education, Educational Establishments, Special School, Educational Institution, Special Educational Needs, Special Education, Education, Learning, College, University, Local Authority Maintained, Community Development, Specialist, Local Education Authority, Specials",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fspilsby.cylex-uk.co.uk%2Fcompany%2Fthe-eresby-school-16542129.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Evans & Davies,1 Cadwgan Pl ,SA46 0BU,Aberaeron ,Ceredigion Wales,01545 570335,01545 571145,NA,evansanddavies.co.uk,NA,NA,NA,NA,"Solicitors, Lawyer",09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://api.scraperapi.com/?url=https%3A%2F%2Faberaeron.cylex-uk.co.uk%2Fcompany%2Fevans---davies-13240852.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
East Wold C of E Primary School,Station Rd ,LN11 8LD,Legbourne ,Lincolnshire England,01507 610060,NA,NA,,NA,NA,"School, Schooling, Local Authority Schools, Schools and Colleges, Faith Schools, Primary School, Education, Learning, Teaching, Classes, College, University, Student, Teaching Activities, Local Authority Maintained, Teaching Methods, Community Development, Voluntary Controlled",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Flegbourne.cylex-uk.co.uk%2Fcompany%2Feast-wold-c-of-e-primary-school-14340664.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Post Office Limited,The Post Office,SA40 9XP,Llanybydder ,Ceredigion Wales,01570 480241,NA,NA,www.postoffice.co.uk,"Post Office, Mail Delivery, Current Account Servicing, Foreign Currency Euros Only, Ink and Toner, National Express Tickets","Post Office, Mail Delivery, Current Account Servicing, Foreign Currency Euros Only, Ink and Toner, National Express Tickets","Post Office, Mail Delivery, Current Account Servicing, Foreign Currency Euros Only, Ink and Toner, National Express Tickets","Post Office, Mail Delivery, Current Account Servicing, Foreign Currency Euros Only, Ink and Toner, National Express Tickets",NA,09:00 - 17:30,09:00 - 17:30,09:00 - 12:00,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,https://api.scraperapi.com/?url=https%3A%2F%2Fllanybydder.cylex-uk.co.uk%2Fcompany%2Fpost-office-limited-17127678.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
BUILDBASE LOUTH,Bolingbroke Road ,LN11 0WA,Louth ,Lincolnshire England,+44 1507 351280,NA,NA,www.buildbase.co.uk,"Builders' Merchants, Plasterboard, Kitchen Suppliers, Tool Rental, Cement, Patios, Bricks, Bretts","Builders' Merchants, Plasterboard, Kitchen Suppliers, Tool Rental, Cement, Patios, Bricks, Bretts","Builders' Merchants, Plasterboard, Kitchen Suppliers, Tool Rental, Cement, Patios, Bricks, Bretts",NA,"Builders' Merchants, Plasterboard, Kitchen Suppliers, Tool Rental, Cement, Patios, Bricks, Bretts",07:00 - 17:00,07:00 - 17:00,08:00 - 12:00,Closed,07:00 - 17:00,07:00 - 17:00,07:00 - 17:00,https://api.scraperapi.com/?url=https%3A%2F%2Flouth.cylex-uk.co.uk%2Fcompany%2Fbuildbase-louth-23766239.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Oasis Clothing Store,"Debenhams Unit 1, Ayr Central Mill Street ",KA7 1TJ,Ayr ,South Ayrshire Scotland,01292 282084,NA,NA,www.oasis-stores.com/row/homepage,"Clothing Shops, Darlings",NA,"Clothing Shops, Darlings",NA,NA,09:00 - 19:00,09:00 - 18:00,09:00 - 18:00,11:00 - 17:00,09:00 - 18:00,09:30 - 18:00,09:00 - 18:00,https://api.scraperapi.com/?url=https%3A%2F%2Fayr-south-ayrshire.cylex-uk.co.uk%2Fcompany%2Foasis-clothing-store-19253871.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
The Vocational Learning Trust,THE WORK PLACE HEIGHINGTON LANE ,DL5 6AH,Aycliffe Business Park ,Durham England,NA,NA,NA,,NA,NA,"Educational Services, Education, Training Courses, Adult Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Faycliffe-business-park.cylex-uk.co.uk%2Fcompany%2Fthe-vocational-learning-trust-22904640.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Granite Transformations MAIDSTONE,"Newnham Court Shopping Village, Bearsted Road ",ME14 5LH,Weavering ,Kent England,01622 807577,NA,NA,www.granitetransformations.co.uk,"Granite Worktops, Glass Worktops",NA,"Granite Worktops, Glass Worktops",NA,NA,09:30 - 17:00,09:30 - 17:00,09:30 - 17:30,10:30 - 16:30,09:30 - 17:00,09:30 - 17:00,09:30 - 17:00,https://api.scraperapi.com/?url=https%3A%2F%2Fweavering.cylex-uk.co.uk%2Fcompany%2Fgranite-transformations-maidstone-23861144.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
OPTIMUM SKILLS LIMITED,"Bede House St Cuthberts Way, Block 1, Ground Floor ",DL5 6DX,Aycliffe Business Park ,Durham England,01325 311832,NA,NA,www.optimumskills.co.uk,NA,NA,"Technical College, Vocational School, Education, Professional Services",NA,NA,09:00 - 17:00,08:30 - 16:00,Closed,Closed,08:30 - 17:00,08:30 - 17:00,09:00 - 17:00,https://api.scraperapi.com/?url=https%3A%2F%2Faycliffe-business-park.cylex-uk.co.uk%2Fcompany%2Foptimum-skills-limited-24860122.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
B&Q,"Sanquhar Farm Road, Heathfield ",KA8 9TB,Ayr ,South Ayrshire Scotland,01292 886644,01292 613110,NA,www.diy.com,"DIY Stores, Home Improvement Products, Garden Decor, Kitchen Showrooms, Mirror Frames","DIY Stores, Home Improvement Products, Garden Decor, Kitchen Showrooms, Mirror Frames","DIY Stores, Home Improvement Products, Garden Decor, Kitchen Showrooms, Mirror Frames",NA,NA,07:00 - 21:00,07:00 - 21:00,07:00 - 20:00,09:00 - 18:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,https://api.scraperapi.com/?url=https%3A%2F%2Fayr-south-ayrshire.cylex-uk.co.uk%2Fcompany%2Fb-q-17039020.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
