Name,Street,Postal,Locality,Region,Phone,Mobile,Fax,Website,Products,Service,Keyword,Facilities,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,URL
Joe Curran,2 ZION STREET ,OL13 9LT,Bacup ,Lancashire England,01706 878851,01706 878851,NA,,Paint,"Painting, Design Services, Decorating Services, Painting Service, Design","Painters, Decorators, Decorating, Interior Design, Designers, Interior Designers, Interior Decoration, Painting Contractors, Painters and Decorators, Decorating Contractors, Interior Decorators, House Painters, Home Decorators, House Decorators, Decoration, Workmanship",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbacup.cylex-uk.co.uk%2Fcompany%2Fjoe-curran-12908999.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
E. Coulson Building Services Ltd,16 Mons Ave ,SG7 6JP,Baldock ,Hertfordshire England,07891 238407,NA,NA,www.ecbuild.co.uk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbaldock.cylex-uk.co.uk%2Fcompany%2Fe--coulson-building-services-ltd-26380153.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Mark Wardley (Electrical),3 Mons Avenue ,SG7 6JP,Baldock ,Hertfordshire England,01462 635632,NA,NA,,NA,Electrical Services,"Electrical Contractors, Electricians & Electrical Contractors, Gas, Installers",NA,Gas Installers,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbaldock.cylex-uk.co.uk%2Fcompany%2Fmark-wardley--electrical--16282203.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Duneire Ballater,11 Viewfield Rd ,AB35 5RD,Ballater ,Aberdeenshire Scotland,01339 755900,NA,NA,duneireballater.co.uk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fballater.cylex-uk.co.uk%2Fcompany%2Fduneire-ballater-27114662.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Children of Rwanda,6 Victoria Rd ,AB35 5QQ,Ballater ,Aberdeenshire Scotland,07427 659913,NA,NA,www.childrenofrwanda.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fballater.cylex-uk.co.uk%2Fcompany%2Fchildren-of-rwanda-26575055.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
,,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fballater.cylex-uk.co.uk%2Fcompany%2Fnorth-british-trust-hotels-ltd-19908276.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Stud Farm Gallery-Framing,UPPER YELD ROAD ,DE45 1JB,Bakewell ,Derbyshire England,01629 814610,NA,NA,,"Greeting Cards, Pictures, Glassware, Ceramics, Fine Art",NA,"Photo Framing, Picture Services, Picture and Photo Framing Services, Print, Gallery, Orginals",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbakewell.cylex-uk.co.uk%2Fcompany%2Fstud-farm-gallery-framing-15805931.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Abs Metals And Waste Limited,"PEACEHAVEN 14 CALTON VIEW, YELD ROAD ",DE45 1FN,Bakewell ,Derbyshire England,NA,NA,NA,,NA,Waste Disposal,"Waste Treatment, Non-Hazardous Waste Disposal",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbakewell.cylex-uk.co.uk%2Fcompany%2Fabs-metals-and-waste-limited-20994373.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
VICKY IRONSIDE LIMITED,The Crest Yeld Road ,DE45 1FJ,Bakewell ,Derbyshire England,NA,NA,NA,,NA,NA,Veterinarian,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbakewell.cylex-uk.co.uk%2Fcompany%2Fvicky-ironside-limited-25251603.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Goboka Rwanda Trust,"Yeld Road, Tanglewood House ",DE45 1FJ,Bakewell ,Derbyshire England,01629 813824,07974 133091,NA,www.thegobokarwandatrust.co.uk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbakewell.cylex-uk.co.uk%2Fcompany%2Fgoboka-rwanda-trust-26622714.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
