Name,Street,Postal,Locality,Region,Phone,Mobile,Fax,Website,Products,Service,Keyword,Facilities,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,URL
Meadow Croft - Bakewell,2 Wyebank Grove,DE45 1BJ,Bakewell ,Derbyshire England,07447 030080,NA,NA,,NA,NA,NA,NA,NA,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,https://api.scraperapi.com/?url=https%3A%2F%2Fbakewell.cylex-uk.co.uk%2Fcompany%2Fmeadow-croft---bakewell-26499167.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Pelican S Pool & SPA Services,"6, WYCHWOOD GARDENS ",OX16 9QN,Banbury ,Oxfordshire England,01295 255483,NA,NA,,NA,NA,"Swimming Pool Contractors, Repairers Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbanbury.cylex-uk.co.uk%2Fcompany%2Fpelican-s-pool---spa-services-14541622.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Keith Edwards,6 Wychwood Gardens ,OX16 9QN,Banbury ,Oxfordshire England,07733 224 510,01295 255 483,NA,,NA,NA,Warehousing & Storage,NA,Building Contractors,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbanbury.cylex-uk.co.uk%2Fcompany%2Fkeith-edwards-19910867.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
WHEELIE SERIOUS LTD,16 Yaverland Drive,GU19 5DX,Bagshot ,Surrey England,07980 658749,NA,NA,www.wheelieserious.co.uk,NA,NA,NA,NA,NA,11:30 - 21:30,11:30 - 21:30,09:00 - 21:30,Closed,11:30 - 21:30,11:30 - 21:30,11:30 - 21:30,https://api.scraperapi.com/?url=https%3A%2F%2Fbagshot.cylex-uk.co.uk%2Fcompany%2Fwheelie-serious-ltd-25989070.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
The Ascot Group,43 Yaverland Dr ,GU19 5DX,Bagshot ,Surrey England,07914 954094,NA,NA,,NA,NA,NA,NA,NA,09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://api.scraperapi.com/?url=https%3A%2F%2Fbagshot.cylex-uk.co.uk%2Fcompany%2Fthe-ascot-group-26626908.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Parish Church of St Aidan Bamburgh,The Vicarage ,NE69 7DB,Bamburgh ,Northumberland England,01668 214748,NA,NA,www.staidan-bamburgh.co.uk,NA,NA,"Church, Religion, Faith, Northumberland, Parish, Forsters, Grace Darling, St Aidans",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbamburgh.cylex-uk.co.uk%2Fcompany%2Fparish-church-of-st-aidan-bamburgh-19322849.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
N.d Berry & Sons,"41, Tullyraine Road ",BT32 4PR,Banbridge ,Down Northern Ireland,028 4066 2767,NA,NA,,NA,NA,Agricultural Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbanbridge.cylex-uk.co.uk%2Fcompany%2Fn-d-berry---sons-13463387.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Bamburgh Cottages,39 The Wynding ,NE69 7DD,Bamburgh ,Northumberland England,0191 266 2800,07973 108553,NA,www.bamburgh-cottages.co.uk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbamburgh.cylex-uk.co.uk%2Fcompany%2Fbamburgh-cottages-27156278.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Bamburgh Cottage Holidays,"Pepperclose Cottage, 18 The Wynding ",NE69 7DB,Bamburgh ,Northumberland England,07846 226631,NA,NA,www.bamburghcottageholidays.co.uk/index.cfm,NA,Self-catering Holiday Accommodation,"Real Estate, Hotel, Hotel & Lodging, Beach",NA,NA,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,https://api.scraperapi.com/?url=https%3A%2F%2Fbamburgh.cylex-uk.co.uk%2Fcompany%2Fbamburgh-cottage-holidays-25778779.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Apple Rock Ltd,6 ASH TREE ROAD ,AB31 5JB,Banchory ,Aberdeenshire Scotland,NA,NA,NA,,NA,NA,"Accountants, Auditing",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fbanchory.cylex-uk.co.uk%2Fcompany%2Fapple-rock-ltd-21039309.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
