Name,Official Name,Company Number,Jurisdiction,Previous Names,SIC code,Incorporation Date,Company Type,Street,Postal,Locality,Region,Latitude,Longitude,Phone,Mobile,Fax,Website,Email,Products,Service,Keyword,Brands,Service Areas,Contact Person,Contact Phone,Facilities,Breadcrumbs,Payment Methods,Social Media,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,URL, All Categories
WHEELIE SERIOUS LTD,WHEELIE SERIOUS LTD,10559975,England/Wales,NA,33170 - Repair and maintenance of other transport equipment n.e.c.,12 Jan 2017,NA,16 Yaverland Drive,GU19 5DX,Bagshot ,Surrey England,51.358242,-0.699134,07980 658749,NA,NA,www.wheelieserious.co.uk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,11:30 - 21:30,11:30 - 21:30,09:00 - 21:30,Closed,11:30 - 21:30,11:30 - 21:30,11:30 - 21:30,https://bagshot.cylex-uk.co.uk/company/wheelie-serious-ltd-25989070.html,
Dolwen Farms Ltd,DOLWEN FARMS LTD,06755741,England/Wales,NA,1420 - Raising of other cattle and buffaloes,24 Nov 2008,Private Limited Company,DOLWEN ,SY21 0JJ,Llanerfyl ,Powys Wales,52.647710,-3.532847,NA,NA,NA,,NA,NA,NA,"Livestock Farming, Sheep Farming, Mining Services, Animal Production, Quarrying Services, Goat Farming",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://llanerfyl.cylex-uk.co.uk/company/dolwen-farms-ltd-21269369.html,"Agriculture & Forestry Llanerfyl,Livestock Services Llanerfyl,Livestock & Animal Production Llanerfyl,Agriculture & Forestry,Livestock Services,Livestock & Animal Production,Industry & Manufacturing,Mining Services,Quarrying & Mining"
The Ascot Group,NA,NA,NA,NA,NA,NA,NA,43 Yaverland Dr ,GU19 5DX,Bagshot ,Surrey England,51.358281,-0.699263,07914 954094,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://bagshot.cylex-uk.co.uk/company/the-ascot-group-26626908.html,
Stevens Heating,NA,NA,NA,NA,NA,NA,NA,29 Yaverland Dr ,GU19 5DX,Bagshot ,Surrey England,51.358200,-0.698221,07850 741221,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bagshot.cylex-uk.co.uk/company/stevens-heating-26871393.html,
Stud Farm Gallery-Framing,NA,NA,NA,NA,NA,NA,NA,UPPER YELD ROAD ,DE45 1JB,Bakewell ,Derbyshire England,53.207245,-1.680048,01629 814610,NA,NA,,NA,"Greeting Cards, Pictures, Glassware, Ceramics, Fine Art",NA,"Photo Framing, Picture Services, Picture and Photo Framing Services, Print, Gallery, Orginals",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/stud-farm-gallery-framing-15805931.html,"Arts, Entertainment & Nightlife Bakewell,Arts & Crafts Bakewell,Picture Framing Services Bakewell,Arts, Entertainment & Nightlife,Arts & Crafts,Picture Framing Services"
Swangrove Estates Limited,SWANGROVE ESTATES LIMITED,00662926,England/Wales,NA,01500 - Mixed farming,22 Jun 1960,Private Limited Company,THE ESTATE OFFICE ,GL9 1DD,Badminton ,Gloucestershire England,51.543223,-2.282853,07799 648929,NA,NA,,NA,NA,NA,"Mixed Farming, Farming",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://badminton.cylex-uk.co.uk/company/swangrove-estates-limited-22875105.html,"Agriculture & Forestry Badminton,Farming Badminton,Farms Badminton,Agriculture & Forestry,Farming,Farms"
Bacup Health Centre,NA,NA,NA,NA,NA,NA,NA,1 YORKSHIRE STREET,OL13 9AL,Bacup ,Lancashire England,53.703671,-2.200172,01706 708200,01706 708234,NA,,NA,NA,NA,NHS,NA,NA,NA,NA,NA,NA,,NA,"Hospitals and Medical Establishments, Clinic, NHS Clinics",NA,NA,NA,NA,NA,NA,NA,https://bacup.cylex-uk.co.uk/company/bacup-health-centre-13692017.html,"Health & Medicine Bacup,Medical Facilities Bacup,Clinics & Medical Centres Bacup,Health & Medicine,Medical Facilities,Clinics & Medical Centres"
Swangrove Holdings Limited,SWANGROVE HOLDINGS LIMITED,00747748,England/Wales,NA,70100 - Activities of head offices,23 Jan 1963,Private Limited Company,THE ESTATE OFFICE ,GL9 1DD,Badminton ,Gloucestershire England,51.543223,-2.282853,NA,NA,NA,,NA,NA,NA,"Consultancy, Head Office, Corporate Head Office Management",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://badminton.cylex-uk.co.uk/company/swangrove-holdings-limited-22875106.html,"Business & Professional Services Badminton,Business Consultants Badminton,Business & Management Consultants Badminton,Business & Professional Services,Business Consultants,Business & Management Consultants"
G Fearn Spa & Pool Services,NA,NA,NA,NA,NA,NA,NA,"HILLCREST, UPPER YELD RD ",DE45 1JB,Bakewell ,Derbyshire England,53.207245,-1.680048,01629 812410,01629 812414,NA,,NA,NA,NA,"Swimming Pool Contractors, Repairers Service",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/g-fearn-spa---pool-services-14371495.html,"Construction & Contractors Bakewell,Swimming Pool Contractors Bakewell,Construction & Contractors,Swimming Pool Contractors"
Rafel Holiday Cottage,NA,NA,NA,NA,NA,NA,NA,RAFEL ,LL23 7YU,Parc ,Gwynedd Wales,52.894802,-3.657329,01678 540369,NA,NA,,NA,NA,NA,"Accommodation, Guest House",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://parc.cylex-uk.co.uk/company/rafel-holiday-cottage-13908790.html,"Travel & Tourism Parc,Accommodation Parc,Hotels Parc,Travel & Tourism,Accommodation,Hotels"
