Name,Official Name,Company Number,Jurisdiction,Previous Names,SIC code,Incorporation Date,Company Type,Street,Postal,Locality,Region,Phone,Email2,Mobile,Fax,Website,Email,Products,Service,Keyword,Brands,Service Areas,Contact Person,Contact Phone,Facilities, All Categories present in,Payment Methods,Social Media,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,URL
Abs Metals And Waste Limited,ABS METALS AND WASTE LIMITED,6702744,England/Wales,NA,38210 - Treatment and disposal of non-hazardous waste,19-Sep-08,Private Limited Company,"PEACEHAVEN 14 CALTON VIEW, YELD ROAD ",DE45 1FN,Bakewell ,Derbyshire England,NA,NA,NA,NA,,NA,NA,Waste Disposal,"Waste Treatment, Non-Hazardous Waste Disposal",NA,NA,,NA,NA,"Industry & Manufacturing Bakewell,Scrap & Waste Merchants Bakewell,Industry & Manufacturing,Scrap & Waste Merchants",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/abs-metals-and-waste-limited-20994373.html
Yorkshire Dales Flyfishing Limited,YORKSHIRE DALES FLYFISHING LIMITED,6049358,England/Wales,72 York Street Barnoldswick Lancashire BB18 5BE England,03120 - Freshwater fishing,11-Jan-07,Private Limited Company,72 York St ,BB18 5BE,Barnoldswick ,Lancashire England,07761 762660,NA,NA,NA,www.yorkshire-dales-flyfishing.com,NA,NA,NA,"Fishing, Electrical Equipment Manufacturers, Fresh Water Fishing, Sports Coaching",NA,NA,,NA,NA,"Industry & Manufacturing Barnoldswick,Electrical Equipment Manufacturers Barnoldswick,Industry & Manufacturing,Electrical Equipment Manufacturers,Sports & Recreation,Fishing & Hunting",,https://twitter.com/intent/user?screen_name=stuartminnikin&original_referer=https%3a%2f%2fbarnoldswick.cylex-uk.co.uk%2fcompany%2fyorkshire-dales-flyfishing-limited-22233647.html,NA,09:30 - 17:00,09:30 - 17:00,09:30 - 17:00,09:30 - 17:00,09:30 - 17:00,09:30 - 17:00,09:30 - 17:00,https://barnoldswick.cylex-uk.co.uk/company/yorkshire-dales-flyfishing-limited-22233647.html
G Fearn Spa & Pool Services,NA,NA,NA,NA,NA,NA,NA,"HILLCREST, UPPER YELD RD ",DE45 1JB,Bakewell ,Derbyshire England,01629 812410,NA,01629 812414,NA,,NA,NA,NA,"Swimming Pool Contractors, Repairers Service",NA,NA,,NA,NA,"Construction & Contractors Bakewell,Swimming Pool Contractors Bakewell,Construction & Contractors,Swimming Pool Contractors",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/g-fearn-spa---pool-services-14371495.html
Lancashire County Council,NA,NA,NA,NA,NA,NA,NA,YORK STREET ,BB18 5BB,Barnoldswick ,Lancashire England,01282 813 014,NA,NA,NA,,NA,NA,NA,School,NA,NA,,NA,NA,"Education Barnoldswick,Schools Barnoldswick,Education,Schools",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://barnoldswick.cylex-uk.co.uk/company/lancashire-county-council-19703758.html
Hudson's Private Hire,NA,NA,NA,NA,NA,NA,NA,27 Yeld Close ,DE45 1FX,Bakewell ,Derbyshire England,07715 668861,NA,NA,NA,,NA,NA,"Transportation, Taxi Service, Airport Shuttle, Chauffeur",Event Planners,NA,NA,,NA,NA,"Transportation Bakewell,Transportation Services Bakewell,Taxis & Private Hire Bakewell,Transportation,Transportation Services,Taxis & Private Hire,Transportation,Transportation Services,Chauffeur Service,Business & Professional Services,Event Planning,Party & Event Planners & Organisers,Transportation,Transportation Services,Airport Transfers",Cash,NA,"Taxi Service, Airport Shuttle Service, Chauffeur Service, Transportation Service, Event Planner",Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,https://bakewell.cylex-uk.co.uk/company/hudson%27s-private-hire-26680701.html
VICKY IRONSIDE LIMITED,VICKY IRONSIDE LIMITED,8627669,England/Wales,NA,75000 - Veterinary activities,29-Jul-13,Private Limited Company,The Crest Yeld Road ,DE45 1FJ,Bakewell ,Derbyshire England,NA,NA,NA,NA,,NA,NA,NA,Veterinarian,NA,NA,,NA,NA,"Pets & Animals Bakewell,Veterinary Services Bakewell,Veterinarians Bakewell,Pets & Animals,Veterinary Services,Veterinarians",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/vicky-ironside-limited-25251603.html
The Old Vicarage,NA,NA,NA,NA,NA,NA,NA,Yeld Road ,DE45 1FJ,Bakewell ,Derbyshire England,01629 814659,NA,01629 814330,NA,www.westwickgroup.com,NA,NA,Healthcare,"Residential Care Homes, Care Homes, Assisted Living, Personal Care Services, Nursing Home, Retirement Homes, Dementia Care, Residential Homes, Assisted Living Facilities, Rest Homes, Nursing Care Homes, Convalescent Homes, Elderly Care Homes, Old People's Homes, Home Care Services, Carers, Home Care Agency, Learning Difficulties, Community, Old Age 65, Residential, Home Care, Homes, Care Services, Social Interaction, Welfare, Physical Disability",NA,NA,,NA,NA,"Health & Medicine Bakewell,Residential Care Bakewell,Residential, Retirement & Care Homes Bakewell,Health & Medicine,Residential Care,Residential, Retirement & Care Homes,Health & Medicine,Residential Care,Nursing & Convalescent Homes",,NA,Hospitals and Medical Establishments,NA,NA,NA,NA,NA,NA,NA,https://bakewell.cylex-uk.co.uk/company/the-old-vicarage-13489876.html
Countrywide Grounds Maintenance,NA,NA,NA,NA,NA,NA,NA,Chestnut Lodge ,NE20 0JS,Medburn ,Northumberland England,0800 234567,NA,NA,NA,www.countrywidegrounds.com,NA,NA,"Gang Mowing, Line Marking, Garden Architecture, Landscaping, Airfield Mowing, Grass Seeding, Sign Cleaning, Tree Felling, Turf Scarification, Watering Systems, Wild Flower Planting, SNOW CLEARANCE, Leaf Clearance, Grounds Maintenance",Gardening Care,NA,NA,,NA,NA,"Home & Garden Medburn,Gardeners Medburn,Home & Garden,Gardeners,Home & Garden,Landscapers,Construction & Contractors,Grounds Maintenance Contractors",,"https://www.facebook.com/CountrywideGroundsMaintenance,https://twitter.com/intent/user?screen_name=CountrywideGM&original_referer=https%3a%2f%2fmedburn.cylex-uk.co.uk%2fcompany%2fcountrywide-grounds-maintenance-19246568.html,https://www.linkedin.com/company/countrywide-grounds-maintenance-ltd",NA,NA,NA,NA,NA,NA,NA,NA,https://medburn.cylex-uk.co.uk/company/countrywide-grounds-maintenance-19246568.html
13 Moons Psychic Phone Line,NA,NA,NA,NA,NA,NA,NA,"Neath Rd, Railway Cottage ",SA9 1PR,Ystradgynlais ,Neath Port Talbot Wales,07952 996795,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/13-moons-psychic-phone-line-26649322.html
R d Beynon & Son,R.D. BEYNON & SON LTD,4803131,England/Wales,NA,33120 - Repair of machinery,2003,Private Limited Company,25 Rhestr Fawr ,SA9 1LD,Ystradgynlais ,Neath Port Talbot Wales,01639 845341,NA,NA,NA,,NA,NA,NA,"Commercial Equipment Repair, Industrial Equipment Repair, Machinery Repairs, Repair Equipment",NA,NA,,NA,NA,"Construction & Contractors Ystradgynlais,Heating Engineers & Contractors Ystradgynlais,Construction & Contractors,Heating Engineers & Contractors","Cash,Cheque",NA,NA,09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://ystradgynlais.cylex-uk.co.uk/company/r-d-beynon---son-13477400.html
