Name,Price,Вино:,Регион:,Производитель:,Крепость,Объем:,Виноград:
"Вино красное сухое Кантина Диомеде, ""Ореа"" Примитиво, 2017, 0.75 л — купить итальянское вино Cantina Diomede, ""Orea"" Primitivo, Puglia IGP, 2017, Farnese, Италия, 750 мл – цена, отзывы",1 167,"Красное,сухое","Италия,Апулия,Пулья",Farnese,13%,0.75 л,Примитиво
"Вино красное сухое Рамирес де ла Писцина, Крианса, 2015, 0.75 л — купить испанское вино Ramirez de la Piscina, Crianza, Rioja DOCa, 2015, Испания, 750 мл – цена",1 240,"Красное,сухое","Испания,Риоха",Ramirez de la Piscina,15%,0.75 л,Темпранильо
"Вино белое сухое Кантина Диомеде, ""Фолиа"" Бомбино Бьянко, 2018, 0.75 л — купить итальянское вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2018, Farnese, Италия, 750 мл – цена, отзывы",792,"Белое,сухое","Италия,Апулия,Пулья",Farnese,12%,0.75 л,Бомбино
"Вино розовое сухое ""Лавендетт"" Розе, 2018, 0.75 л — купить французское вино ""Lavendette"" Rose, Alpes de Haute Provence IGP, 2018, Vins Breban, Франция, 750 мл – цена, отзывы",995,"Розовое,сухое","Франция,Прованс",Vins Breban,12.5%,0.75 л,"Сира,Гренаш/Гарнача,Сенсо"
"Вино красное сухое Тенута ди Треччано, ""Терра Росса"" Кьянти Колли Сенези Ризерва, 2015, 0.75 л — купить итальянское вино Tenuta di Trecciano, ""Terra Rossa"" Chianti Colli Senesi Riserva DOCG, 2015, Италия, 750 мл – цена, отзывы",1 730,"Красное,сухое","Италия,Тоскана,Кьянти Колли Сенези",Tenuta di Trecciano,13.5%,0.75 л,Санджовезе
"Вино красное сухое Сан Микеле а Торри, ""Тенута Ла Габбиола"" Кьянти Классико, 2016, 0.75 л — купить итальянское вино San Michele a Torri, ""Tenuta La Gabbiola"" Chianti Classico DOCG, 2016, Италия, 750 мл – цена, отзывы",964,"Красное,сухое","Италия,Тоскана,Кьянти Классико",San Michele a Torri,14.5%,0.75 л,"Санджовезе,Сира"
"Вино красное сухое ""Рок Гри"" Кот дю Руссийон Вилляж Тотавель, 2015, 0.75 л — купить французское вино ""Roc Gris"" Cotes du Roussillon Villages Tautavel AOC, 2015, Les Vignerons de Tautavel Vingrau, Франция, 750 мл – цена, отзывы",1 144,"Красное,сухое","Франция,Лангедок-Руссийон,Кот дю Руссийон",Les Vignerons de Tautavel Vingrau,14.5%,0.75 л,"Гренаш/Гарнача,Сира,Кариньяно"
"Вино красное сухое ""Фавунэ"" Россо, 2017, 0.75 л — купить итальянское вино Teanum, ""Favugne"" Rosso, San Severo DOP, 2017, Италия, 750 мл – цена, отзывы",784,"Красное,сухое","Италия,Апулия",Teanum,13%,0.75 л,Монтепульчано
"Вино красное сухое Маркес де Монтехос, ""Селексьон"" Менсия, 2015, 0.75 л — купить испанское вино Marques de Montejos, ""Seleccion"" Mencia, 2015, Palacio de Arganza, Испания, 750 мл – цена, отзывы",1 047,"Красное,сухое","Испания,Кастилья и Леон",Palacio de Arganza,13%,0.75 л,Менсия
"Вино красное сухое ""Сималь"" Гарнача, 2016, 0.75 л — купить испанское вино Familia Bastida, ""Cimal"" Garnacha, La Mancha DO, 2016, Bodegas Bastida, Испания, 750 мл – цена, отзывы",971,"Красное,сухое","Испания,Кастилия Ла Манча",Bodegas Bastida,14%,0.75 л,Гренаш/Гарнача
